ID,Adaptive Policy Group,Description,Device Type Prediction,First Seen,Group Policy 802.1x,IPv4,IPv6,IPv6 Local,Last Seen,MAC,Manufacturer,Notes,OS,Recent Device Connection,Recent Device MAC,Recent Device Name,Recent Device Serial,SM Installed,SSID,Status,Switchport,Usage Received,Usage Sent,Usage Total,User,VLAN
k960ecc,None,Iphone-ellen,None,2023-02-12T04:25:34Z,None,192.168.0.12,None,fe80:0:0:0:188e:59ac:7ad6:6cea,2023-02-23T17:23:32Z,44:4a:db:22:4a:53,Apple,None,None,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Online,6,986401,44485,1030887,None,1
k961f40,None,None,None,2023-02-11T17:46:10Z,None,192.168.0.1,None,None,2023-02-23T17:23:32Z,74:da:da:93:3f:61,D-Link International,None,None,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Online,1,3850335,11908698,15759034,None,1
k98e222,None,VanTz-Property,None,2023-02-11T18:17:17Z,None,169.254.57.89,None,fe80:0:0:0:b7a4:b783:fc69:4453,2023-02-23T06:46:00Z,74:70:fd:76:25:b4,Intel,None,None,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Offline,2,4873,511,5384,None,1
ka02139,None,None,None,2023-02-11T17:46:10Z,None,192.168.0.100,None,None,2023-02-23T17:23:32Z,00:00:5e:00:01:01,ICANN  IANA Department,None,None,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Online,2,1,1551,1552,None,1
kaa06d3,None,SM-R890,None,2023-02-11T18:42:56Z,None,192.168.0.21,None,fe80:0:0:0:8494:a8ff:fef9:56c8,2023-02-23T07:31:09Z,86:94:a8:f9:56:c8,None,None,None,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Offline,1,2,3,5,None,1
kb1c799,None,android-5db4e5052f7134eb,None,2023-02-11T17:46:10Z,None,192.168.0.15,None,fe80:0:0:0:4e1a:3dff:fe27:949,2023-02-23T04:11:55Z,4c:1a:3d:27:09:49,GUANGDONG OPPO MOBILE...,None,Android,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Offline,6,689,472,1161,None,1
kb9b7c3,None,None,None,2023-02-11T17:46:10Z,None,192.168.1.1,None,fe80:0:0:0:0:0:0:1,2023-02-23T17:23:32Z,24:58:6e:c8:93:22,zte,None,None,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Online,6,1064,3321,4386,None,1
kb903c3,None,None,None,2023-02-11T17:46:10Z,None,192.168.1.50,None,None,2023-02-23T17:21:57Z,00:00:1b:1b:65:ba,Novell,None,None,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Online,5,532,2107,2639,None,1
k13a788,None,vivo-1804,None,2023-02-12T05:07:46Z,None,192.168.0.22,None,fe80:0:0:0:22f7:7cff:fe32:c667,2023-02-23T17:23:32Z,20:f7:7c:32:c6:67,vivo Mobile Communication,None,None,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Online,6,326136,863285,1189421,None,1
kc189c8,None,Galaxy-Note8,None,2023-02-11T17:46:10Z,None,192.168.0.6,None,fe80:0:0:0:3a0a:fd89:225b:26a6,2023-02-23T17:23:32Z,04:d6:aa:c8:93:84,Samsung(THAILAND),None,None,Wired,0c:8d:db:80:71:99,None,Q2HP-JBEW-FN7B,False,None,Online,2,2044636,111007,2155643,None,1
